0,1,2
S/N,NAME,DESIGNATION
1,Mr. Aigboje Aig-Imoukhuede*,Chairman/Non-Executive Director
2,Mr. Abubakar Aribidesi Jimoh,Independent Non-Executive Director
3,Mrs. Fatimah Bintah Bello-Ismail,Independent Non-Executive Director
4,Mrs. Ojinika Nkechinyelu Olaghere,Non-Executive Director
5,Mr. Olusegun Babalola Ogbonnewo,Non-Executive Director
6,Mr. Roosevelt Michael Ogbonna,Non-Executive Director
7,Mr. Oluseyi Kolawole Kumapayi,Non-Executive Director
8,Ms. Bolaji Olaitan Agbede**,Acting Group Chief Executive Officer
9,Mr. Lanre Bamisebi,Executive Director
